input,output
आइतवार हप्ताको अन्तिम दिन हो।,आइतवार् हप्ताको अन्तिम् दिन् हो।
म लेख्न सक्दिन ।,म लेख्न सक्दिन ।
म हरेक दिन भात खान्छु।,म हरेक् दिन् भात् खान्छु।
म सामान्यतया दिनमा कम्तिमा दुई पटक भात खान्छु।,म सामान्यतया दिन्‌मा कम्तिमा दुई पटक् भात् खान्छु।
"मलाई भात मनपर्छ, तर म हरेक दिन खान्न।","मलाई भात् मन्‌पर्छ, तर म हरेक् दिन् खान्न।"
म यसलाई पर्याप्त जोड दिन सक्दिन।,म यसलाई पर्याप्त जोड् दिन सक्दिन।
के त्यो दिन साँच्चै के भयो भनेर कसैले तपाईलाई बताएको छ?,के त्यो दिन् साँच्चै के भयो भनेर कसैले तपाईलाई बताएको छ?
उपहारको लागि टमलाई धन्यवाद दिन सम्झनुहोस्।,उपहार्‌को लागि टम्‌लाई धन्यवाद् दिन सम्झनुहोस्।
"यदि मैले यसलाई प्रयोग गर्दिन भने, मैले यसलाई परोपकारमा दान गर्नुपर्छ ।","यदि मैले यस्‌लाई प्रयोग् गर्दिन भने, मैले यसलाई परोप्‌कार्‌मा दान् गर्नुपर्छ ।"
तिमी मलाई किन दुख दिन चाहान्छौ?,तिमी मलाई किन दुख दिन चाहान्छौ?
हामी हरेक दिन काठ काट्छौं।,हामी हरेक् दिन् काठ् काट्छौं।
जिरी दिनहुँ अध्ययन गर्छिन्।,जिरी दिनहुँ अध्ययन् गर्छिन्।
भोलि बुबाको मुख हेर्ने दिन हो।,भोलि बुबाको मुख् हेर्ने दिन् हो।
दिदिले आफ्नो बुबालाई त्यस दिन शुभकामना दिन फोन गरे।,दिदिले आफ्नो बुबालाई त्यस् दिन् शुभकामना दिन फोन गरे।
म गाईको मासु खाँदिन।,म गाईको मासु खाँदिन।
म माफी माग्ने धेरै मानिसहरूलाई चिन्दिन।,म माफी माग्ने धेरै मानिसहरूलाई चिन्दिन।
तपाईलाई ज्याज किन मन पर्दैन भन्ने कुरा म बुझ्न सक्दिन।,तपाईलाई ज्याज किन मन पर्दैन भन्ने कुरा म बुझ्न सक्दिन।
मैले दिनभरि निकै मेहनत गरेको छु ।,मैले दिन्‌भरि निकै मेहनत् गरेको छु ।
आजको दिन गजबको छ।,आजको दिन् गजब्‌को छ।
के तपाईं मलाई एउटा उदाहरण दिन सक्नुहुन्छ?,के तपाईं मलाई एउटा उदाहरण् दिन सक्नुहुन्छ?
तपाईंले ध्यान दिन आवश्यक छ।,तपाईंले ध्यान् दिन आवश्यक् छ।
म तिमीलाई दबाब दिन चाहन्न।,म तिमीलाई दबाब् दिन चाहन्न।
म हरेक दिन फुटबल खेल्छु।,म हरेक् दिन् फुटबल् खेल्छु।
ले मलाई केही पैसा उधारो दिन आग्रह गरेको छ।,टमले मलाई केही पैसा उधारो दिन आग्रह गरेको छ।
मलाई कष्ट दिन बन्द गर्नुहोस्।,मलाई कष्ट दिन बन्द गर्नुहोस्।
म प्रति दिन एक सय यूरो कमाउँछु।,म प्रति दिन् एक् सय् यूरो कमाउँछु।
म कातोजीको परिचय दिन चाहन्छु।,म कातोजीको परिचय दिन चाहन्छु।
